respid,countrycode,q13_1,q13_2,q13_3,q13_4,q13_5,q13_6,q13_7,q13_8,q13_9
39980,1208,7,8,7,4,4,1,7,96,96
40016,1208,1,3,3,3,3,10,4,96,96
40034,1208,6,7,8,1,3,2,7,96,96
40047,1208,5,7,8,6,4,3,7,96,96
40062,1208,7,7,9,9,9,8,6,96,96
40086,1208,2,10,3,5,4,6,3,96,96
40088,1208,8,7,9,10,8,10,9,96,96
40089,1208,2,9,6,5,2,1,8,96,96
40120,1208,5,7,9,4,2,0,7,96,96
40140,1208,4,6,7,5,3,2,8,96,96
40146,1208,5,6,8,2,3,1,9,96,96
40168,1208,10,10,10,10,10,10,10,96,96
40284,1208,4,6,5,98,2,0,7,96,96
40325,1208,3,7,9,7,3,0,7,96,96
40340,1208,98,98,98,4,5,5,5,96,96
40406,1208,4,10,8,5,2,0,8,96,96
40424,1208,6,10,7,3,6,4,9,96,96
40483,1208,6,4,8,6,2,5,8,96,96
40502,1208,5,7,98,98,2,0,9,96,96
40564,1208,7,9,4,5,8,5,7,96,96
40572,1208,5,1,4,5,10,10,0,96,96
40590,1208,4,4,5,3,6,4,5,96,96
40633,1208,4,8,5,5,2,0,8,96,96
40663,1208,8,5,8,6,2,5,7,96,96
40717,1208,5,5,10,2,2,0,9,96,96
40807,1208,98,98,98,98,98,98,98,96,96
40820,1208,6,7,6,5,3,1,7,96,96
40852,1208,4,6,98,5,2,1,7,96,96
40859,1208,5,7,9,4,3,1,8,96,96
40956,1208,8,0,3,3,7,3,7,96,96
40980,1208,2,0,0,0,0,0,0,96,96
41045,1208,0,4,5,0,8,6,3,96,96
41090,1208,7,3,2,4,7,9,3,96,96
41104,1208,7,0,4,0,0,0,0,96,96
41231,1208,0,0,0,5,0,0,10,96,96
41274,1208,7,8,10,4,2,0,7,96,96
41359,1208,8,7,8,8,8,9,7,96,96
41511,1208,3,7,9,5,3,0,5,96,96
41543,1208,0,10,10,3,0,98,7,96,96
41575,1208,0,0,98,1,5,5,5,96,96
41579,1208,0,10,10,6,2,0,7,96,96
41670,1208,5,6,7,0,0,0,0,96,96
41671,1208,3,7,9,4,4,7,5,96,96
41683,1208,10,10,10,10,10,10,10,96,96
41698,1208,4,7,6,2,1,1,7,96,96
41753,1208,6,7,10,7,3,1,8,96,96
41768,1208,5,5,5,5,5,5,5,96,96
41781,1208,4,7,5,5,5,5,5,96,96
41838,1208,98,98,98,98,98,98,98,96,96
